id,family,metric,definition,numerator,denominator,collection,interpretation_limit,gate,baseline,target,pilot_result,notes
m01,quality,Hiring-manager acceptance rate,Share of reviewed system recommendations accepted as worth interviewing under the frozen role rubric.,Recommendations accepted for interview review,Recommendations reviewed by the designated hiring manager,Record independent rubric judgment before vendor explanation and retain rejected reasons.,Manager acceptance is not quality of hire and can reflect inconsistent or biased judgment.,False,,,,
m02,quality,Precision at review budget,Share of the top K reviewed sourcing results that meet the pre-agreed relevance standard.,Relevant profiles within top K,All reviewed profiles within top K,"Freeze K, pool, role rubric, reviewer, and adjudication before reviewing ranks.",Does not show qualified people absent from the pool or ranked below K.,False,,,,
m03,quality,Reviewed false-negative rate,"Share of reviewed lower-ranked, rejected, or alternate-source qualified cases that the system failed to advance.",Qualified reviewed cases not advanced by the system,All qualified cases found in the reviewed miss sample,"Sample lower ranks, hard-filter exclusions, known qualified cases, and alternate queries.",A sampled miss rate is not full-population recall unless the sample design supports that inference.,False,,,,
m04,intent,Role-specific positive-interest rate,Share of delivered and validly contacted people who explicitly express current interest in the named role or a defined next conversation.,People with verified role-specific positive interest,People delivered and validly contacted under the approved process,"Classify positive, decline, question, opt-out, uncertain, bounce, and no-response separately.",Interest does not establish role qualification or interview acceptance.,False,,,,
m05,intent,Interview-ready conversion,Share of qualified and interested people accepted by the employer for scheduling or a defined interview step.,People accepted as interview-ready,People delivered as qualified and interested,"Require current interest, evidence packet, employer decision, and a clear next step.","Scheduling or acceptance is not attendance, job performance, offer, or hire.",False,,,,
m06,intent,Uncertain-reply resolution rate,Share of replies classified as uncertain that receive correct human escalation or clarification before further automation.,Uncertain replies correctly resolved before another external action,All replies classified or later adjudicated as uncertain,"Review reply state, next action, human decision, and any subsequent message.",Depends on complete capture and qualified adjudication of uncertain replies.,True,,,,
m07,time,Time to first accepted slate,Elapsed time from approval of the frozen role brief to the first set of recommendations accepted for deeper review.,Not applicable — duration metric,Not applicable — duration metric,"Timestamp role approval, system start, pauses, delivery, and manager acceptance; report paused time separately.","Does not capture later candidate interest, interview quality, or hidden labor.",False,,,,
m08,time,Time to interview-ready handoff,Elapsed time from approved brief to a qualified and interested person accepted for scheduling with evidence and context.,Not applicable — duration metric,Not applicable — duration metric,"Timestamp each funnel state and distinguish buyer delay, vendor service time, and candidate response time.",Role difficulty and market conditions limit comparison across roles.,False,,,,
m09,time,Median incident recovery time,Median elapsed time from detection of a pilot incident to contained effect and reconciled workflow state.,Not applicable — duration metric,Not applicable — duration metric,"Record detection, containment, correction, candidate action, reconciliation, and return-to-service timestamps.",A small pilot may have too few incidents for a stable summary; preserve case severity and detail.,True,,,,
m10,labor,Recruiter minutes per accepted recommendation,"Recruiter hands-on time spent operating, reviewing, correcting, and handing off the workflow for each accepted recommendation.",Total recruiter hands-on minutes,Recommendations accepted under the role rubric,Use lightweight time logs by activity rather than retrospective estimates alone.,"Can shift work to managers, vendor staff, support, or candidates unless those labor categories are also measured.",False,,,,
m11,labor,Hiring-manager review minutes per interview-ready handoff,"Hiring-manager time spent reviewing evidence, resolving uncertainty, and accepting each interview-ready handoff.",Total hiring-manager review minutes,Interview-ready handoffs accepted,"Record initial review, rework, clarification, and adjudication separately.",Low time can reflect good evidence or superficial rubber-stamping; sample decision quality.,False,,,,
m12,labor,QA and exception minutes per completed workflow,"Quality-assurance, technical, support, and exception-handling time required for each completed system workflow.","Total QA, technical, support, and exception minutes",Completed workflows in the pilot,"Include duplicate cleanup, integration reconciliation, manual classification, and candidate support.",Vendor labor may be hidden unless the provider reports its operating contribution.,False,,,,
m13,candidate-impact,Accommodation-path completion,Share of accommodation requests in the pilot that receive a timely suitable path and complete the intended assessment or review stage.,Accommodation requests completed through a suitable path,Accommodation requests received in the pilot,"Review notice, request, response time, alternative method, candidate outcome, and downstream scoring.",Small counts require case review and do not establish population accessibility or legal compliance.,True,,,,
m14,candidate-impact,Material correction resolution,Share of candidate or reviewer reports of material data or inference errors that are corrected across active and derived records within the agreed time.,Material corrections completed and propagated,Material correction requests accepted as valid,"Track request, owner, source correction, derived-data update, downstream effect, and communication.",Depends on a visible reporting path and does not capture errors that affected people never discover.,True,,,,
m15,candidate-impact,Candidate issue rate,"Rate of verified accessibility, duplicate contact, suppression, misleading notice, incorrect status, or other candidate-impact issues per exposed candidate.",Verified candidate-impact issues,Candidates exposed to the evaluated workflow,"Combine logs, candidate reports, support cases, and proactive sample review; classify severity.",Absence of reports is weak evidence when notice and reporting routes are hard to find.,True,,,,
m16,reliability,External-action error rate,"Share of executed messages, writes, schedules, or other external actions that violate the approved recipient, content, permission, timing, suppression, or workflow state.",External actions with a verified control or execution error,All external actions executed in the pilot,"Reconcile proposed, approved, executed, retried, corrected, and rolled-back events.","Low-frequency severe events require a gate and case review, not only an average percentage.",True,,,,
m17,reliability,Duplicate or inconsistent-state rate,"Share of workflows producing duplicate contact, duplicate records, conflicting statuses, lost approvals, or unreconciled partial writes.",Workflows with duplicate or inconsistent state,Completed or attempted workflows in the pilot,Inject selected integration failures and reconcile logs against downstream systems.,"A sandbox may not reproduce production timing, rate limits, concurrency, or legacy data.",True,,,,
m18,reliability,Successful manual-fallback rate,"Share of tested pause or failure scenarios where an accountable person can see context, prevent queued actions, complete or correct the workflow, and reconcile state.",Fallback scenarios completed without material loss or duplicate effect,Fallback scenarios tested,"Test candidate, role, channel, integration, credential, and environment scopes where relevant.","A scripted test does not replace ongoing readiness, staffing, access, and incident exercises.",True,,,,
