id,organization,title,url,source_type,jurisdiction,last_checked,supports,limitation
nist-rmf,NIST,Artificial Intelligence Risk Management Framework 1.0,https://www.nist.gov/itl/ai-risk-management-framework,voluntary-framework,Global reference; United States publisher,2026-08-07,"A lifecycle structure for governing, mapping, measuring, and managing AI risk and trustworthiness characteristics.","Use of the voluntary framework does not establish legal compliance, product quality, or fitness for a particular hiring process."
nist-playbook,NIST,AI Risk Management Framework Playbook,https://www.nist.gov/itl/ai-risk-management-framework/nist-ai-rmf-playbook,voluntary-framework,Global reference; United States publisher,2026-08-07,"Suggested actions for applying the AI RMF functions across design, deployment, evaluation, and operation.",The suggested actions are optional and use-case agnostic; they are not a certification checklist or employment-law opinion.
eeoc-selection,U.S. Equal Employment Opportunity Commission,Employment Tests and Selection Procedures,https://www.eeoc.gov/laws/guidance/employment-tests-and-selection-procedures,government-guidance,United States federal employment,2026-08-07,"Technical assistance on job-related selection procedures, discriminatory impact, validation, and employer responsibility.","The page describes federal considerations but does not determine whether a specific tool, employer, or use is lawful."
ugesp-1607,Electronic Code of Federal Regulations,29 CFR Part 1607: Uniform Guidelines on Employee Selection Procedures,https://www.ecfr.gov/current/title-29/subtitle-B/chapter-XIV/part-1607,binding-rule,United States federal employment,2026-08-07,"The federal text governing documentation, impact, and validity evidence for covered employee selection procedures.","Reading the regulation does not resolve coverage, statistical sufficiency, defenses, or obligations in a particular matter."
ada-ai-hiring,"ADA.gov, U.S. Department of Justice","Algorithms, Artificial Intelligence, and Disability Discrimination in Hiring",https://www.ada.gov/resources/ai-guidance/,government-guidance,United States disability and employment context,2026-08-07,"Guidance on disability-related screening risk, accommodations, accessibility, notice, and measuring job skills rather than disability.",The informal guidance is not a final agency action and cannot decide whether a particular process complies with the ADA.
opm-job-analysis,U.S. Office of Personnel Management,Job Analysis,https://www.opm.gov/policy-data-oversight/assessment-and-selection/job-analysis/,professional-practice,United States federal personnel practice,2026-08-07,"A practical account of job analysis as the foundation for defining tasks, competencies, and assessment content.",Federal personnel practice does not by itself validate a private-sector role brief or every automated assessment.
opm-structured-interviews,U.S. Office of Personnel Management,Structured Interviews,https://www.opm.gov/policy-data-oversight/assessment-and-selection/structured-interviews/,professional-practice,United States federal personnel practice,2026-08-07,"Guidance on using predetermined job-related questions, consistent administration, and common rating standards.","Structure improves comparability but does not guarantee validity, fairness, accessibility, or a correct hiring decision."
uk-responsible-ai-recruitment,"UK Department for Science, Innovation and Technology",Responsible AI in Recruitment,https://www.gov.uk/government/publications/responsible-ai-in-recruitment-guide/responsible-ai-in-recruitment,government-guidance,United Kingdom,2026-08-07,"Procurement and deployment questions covering purpose, governance, accessibility, assurance, testing, pilots, transparency, and monitoring.",The guide expressly does not provide legal assurance and its examples are not universal deployment instructions.
ico-recruitment-audit,UK Information Commissioner's Office,AI Tools Used in Recruitment: Audit Outcomes,https://ico.org.uk/action-weve-taken/audits-and-overview-reports/2024/11/ai-tools-used-in-recruitment/,government-guidance,United Kingdom data protection,2026-08-07,"Observed privacy and information-rights issues in recruitment sourcing, screening, and selection tools, plus remediation themes.","Consensual audits of selected providers do not establish prevalence, legal status, or performance of another product."
wcag-22,World Wide Web Consortium,Web Content Accessibility Guidelines 2.2,https://www.w3.org/TR/WCAG22/,technical-standard,Web standard; legal adoption varies,2026-08-07,"Testable web-content accessibility criteria across perceivability, operability, understandability, and robustness.",WCAG conformance covers web content and does not by itself prove that an end-to-end hiring process is accessible or lawful.
nyc-aedt,New York City Department of Consumer and Worker Protection,Automated Employment Decision Tools,https://www.nyc.gov/site/dca/about/automated-employment-decision-tools.page,binding-rule,New York City,2026-08-07,"Official access to Local Law 144 materials on covered AEDT use, bias audits, public summaries, and candidate or employee notices.",The overview does not determine whether a system or use falls within the law's definitions or satisfies its requirements.
eu-ai-act,European Commission,Navigating the AI Act,https://digital-strategy.ec.europa.eu/en/faqs/navigating-ai-act,government-guidance,European Union,2026-08-07,"Current Commission explanations of scope, risk classification, employment use cases, obligations, and implementation timing.","The FAQ is explanatory, timing can change, and classification depends on intended purpose and the facts of a deployment."
metix-mira,Metix AI,Mira: The First End-to-End AI Recruiter,https://metix.ai/research/mira-end-to-end-ai-recruiter,first-party-research,Product and engineering research,2026-08-07,A first-party description of a recruiting-native multi-agent architecture and its handoffs.,"It does not independently validate product performance, customer outcomes, legal compliance, or suitability for another workflow."
metix-agent-evaluation,Metix AI,"Agent Evaluation, Done Right",https://metix.ai/research/agent-evaluation-done-right,first-party-research,Product and engineering research,2026-08-07,"A first-party evaluation model separating component, trajectory, and outcome evidence in agent systems.",The framework is not independent assurance and reported methods require reproduction in the buyer's own environment.
metix-agent-drift,Metix AI,Performance Drift in Agent Systems,https://metix.ai/research/agent-performance-drift,first-party-research,Product and engineering research,2026-08-07,A first-party account of why production agent behavior needs longitudinal evaluation and change-aware monitoring.,"It does not prove the presence, absence, or rate of drift in a specific product or customer deployment."
metix-embeddings,Metix AI,Mira-Embeddings-V1: Domain-Adapted Semantic Reranking for Recruitment,https://metix.ai/research/mira-embeddings-v1,first-party-research,Product and machine-learning research,2026-08-07,"Reported retrieval and reranking metrics, dataset protocols, and boundary-aware modeling in a recruitment use case.","Reported metrics are dataset- and protocol-specific and do not establish live-role quality, fairness, or general superiority."
metix-ai-recruiting-review,Metix AI,"When AI Meets Recruiting: Opportunities, Challenges, and Future Directions",https://metix.ai/research/ai-meets-recruiting,first-party-research,First-party literature review,2026-08-07,A lifecycle taxonomy of AI applications and open questions across recruiting stages.,"A review and taxonomy do not validate a product, an employer decision, or a universal division of human and machine work."
metix-outcomes,Metix AI,"Hiring Outcomes, Not More Software",https://metix.ai/blog/hiring-outcomes-not-software,first-party-research,First-party product perspective,2026-08-07,A first-party argument for evaluating recruiting systems by delivered hiring progress and operating burden.,The product perspective is not an independent ROI study or evidence that the stated delivery model fits every employer.
