id,category,question,evidence,red_flag,gate,applies_to
q01,purpose-and-scope,What exact hiring problem and workflow decision is the evaluated system intended to change?,A written intended-use statement mapped to the buyer's proposed workflow.,The answer is a feature list or a claim that the system is suitable for every recruiting stage.,True,all systems
q02,purpose-and-scope,Which recruiting stages and decisions are explicitly outside the evaluated scope?,A production workflow diagram with included and excluded actions.,Roadmap functions or adjacent products are presented as current evaluated capability.,False,all systems
q03,purpose-and-scope,Who is the accountable owner on the vendor side and the expected owner on the buyer side?,"Named operational, technical, candidate-support, and incident responsibilities.","Responsibility moves between sales, customer success, the employer, and a model provider without an owner.",True,all systems
q04,purpose-and-scope,"Which roles, geographies, languages, volumes, and candidate populations were the system designed and tested for?",Intended-use documentation and evaluation slices with explicit exclusions.,One aggregate result is generalized to roles or regions that were not represented.,False,all systems
q05,purpose-and-scope,Which decisions remain human and what evidence does that human receive?,"A live demonstration of review, correction, override, and escalation on a difficult case.",Human in the loop means only a confirmation click or a policy statement.,True,"screening, ranking, and agent systems"
q06,purpose-and-scope,"What system, model, data, and workflow changes require the buyer to re-evaluate the deployment?",Versioning and change-notification policy tied to retest triggers.,The vendor may change material components without notice or a reproducible version record.,True,all systems
q07,system-and-evidence,"Can the vendor diagram models, retrieval, rules, tools, integrations, humans, and external actions in the production workflow?",A current architecture and data-flow diagram for the contracted configuration.,"A single AI box hides third-party models, human work, or consequential tool calls.",True,all systems
q08,system-and-evidence,"What evidence supports each material accuracy, quality, efficiency, fairness, or outcome claim?","Claim register with task, population, sample, labels, metric, denominator, date, and limitations.","Claims rely on unattributed percentages, selected customers, or a benchmark unrelated to the buyer's task.",True,all systems
q09,system-and-evidence,"Will the vendor show failed, borderline, rejected, and insufficient-information cases as well as successes?",Buyer-selected test cases and access to unselected or lower-ranked examples.,Only curated outputs or a vendor-controlled demo environment are available.,True,all systems
q10,system-and-evidence,How were ground-truth labels or evaluation judgments created and adjudicated?,"Rubric, rater qualifications, agreement results, disagreements, and adjudication record.",Another model or one untrained reviewer is treated as unquestionable ground truth.,False,ranking and screening systems
q11,system-and-evidence,"What known limitations, unsupported uses, and negative results are documented?","Current model card, risk assessment, test report, release notes, and limitation register.","Documentation lists only benefits or says the system is bias-free, objective, or always accurate.",True,all systems
q12,system-and-evidence,"Can the buyer reproduce the evaluation with its own role, cases, configuration, and reviewers?","A bounded test protocol, exportable outputs, version identifiers, and buyer-visible logs.",Results cannot be reproduced outside a vendor presentation or depend on undisclosed tuning.,False,all systems
q13,data-and-provenance,"Which candidate, job, interaction, and outcome data sources are used, licensed, inferred, generated, or supplied by the buyer?",Field-level provenance and a data inventory for the evaluated workflow.,"Source facts, vendor inference, and generated summaries are indistinguishable.",True,all systems
